kind,model,order,rows,device,algorithm,points,max_feature_abs,mean_feature_abs,finite,max_pair_abs,mean_pair_abs,error,initial_configuration_error,library
benchmark,cal_housing-sparse,2,1,cuda,quadratureshap,,,,True,3.225241991117178e-07,2.4781689217111194e-08,,,
benchmark,covtype-large,1,16,cpu,treeshap,8,2.175276017091221e-07,5.441781093209903e-10,True,,,,,
benchmark,covtype-large,1,16,cpu,quadratureshap,8,3.6961729649176434e-08,9.48141333064544e-11,True,,,,,
benchmark,covtype-large,1,16,cuda,treeshap,8,1.5792295693373148e-07,1.3527866554818864e-10,True,,,,,
benchmark,covtype-large,1,16,cuda,quadratureshap,8,5.186289084302409e-08,9.315187936797044e-11,True,,,,,
benchmark,covtype-large,2,1,cpu,treeshap,,,,True,3.929849199562404e-08,5.3868810701332736e-11,,,
benchmark,covtype-large,2,1,cpu,quadratureshap,,,,True,8.908102949733987e-09,5.0988736650868855e-12,,,
benchmark,covtype-large,2,1,cuda,treeshap,,,,True,8.908102949733987e-09,4.930817786741105e-12,,,
benchmark,covtype-large,2,1,cuda,quadratureshap,,,,True,1.0178318632370065e-08,4.288581313703916e-12,,,
benchmark,covtype-small,1,16,cpu,treeshap,8,4.275010090371012e-08,5.6576176710278675e-11,True,,,,,
benchmark,covtype-small,1,16,cpu,quadratureshap,8,1.3606383342246176e-07,6.779384838908258e-11,True,,,,,
benchmark,covtype-small,1,16,cuda,treeshap,8,4.275010090371012e-08,3.998242620857649e-11,True,,,,,
benchmark,covtype-small,1,16,cuda,quadratureshap,8,1.6854543871680505e-08,4.8167119974902486e-11,True,,,,,
benchmark,covtype-small,2,1,cpu,treeshap,,,,True,1.2208139672786888e-08,5.671468336945607e-12,,,
benchmark,covtype-small,2,1,cpu,quadratureshap,,,,True,5.107697265138711e-09,1.671799805930083e-12,,,
benchmark,covtype-small,2,1,cuda,treeshap,,,,True,2.6930215210607678e-09,1.0174847522057015e-12,,,
benchmark,covtype-small,2,1,cuda,quadratureshap,,,,True,1.2558277862062539e-08,2.0875401145924752e-12,,,
benchmark,covtype-sparse,1,16,cpu,treeshap,8,1.4763324423378021e-07,5.109776292114654e-10,True,,,,,
benchmark,covtype-sparse,1,16,cpu,quadratureshap,8,3.526398784092777e-08,8.429218297818903e-11,True,,,,,
benchmark,covtype-sparse,1,16,cuda,treeshap,8,1.435499464852441e-07,2.0387691719284234e-10,True,,,,,
benchmark,covtype-sparse,1,16,cuda,quadratureshap,8,6.764581453322371e-08,8.353770846286496e-11,True,,,,,
benchmark,covtype-sparse,2,1,cpu,treeshap,,,,True,9.636683580272181e-08,7.035002211788194e-11,,,
benchmark,covtype-sparse,2,1,cpu,quadratureshap,,,,True,8.794476209772473e-09,4.788892544409856e-12,,,
benchmark,covtype-sparse,2,1,cuda,treeshap,,,,True,1.151080075700861e-08,1.1278293913203157e-11,,,
benchmark,covtype-sparse,2,1,cuda,quadratureshap,,,,True,8.794476209772473e-09,4.089570797612868e-12,,,
benchmark,fashion_mnist-large,1,16,cpu,treeshap,8,1.6257557231558195e-06,3.5542429904675446e-09,True,,,,,
benchmark,fashion_mnist-large,1,16,cpu,quadratureshap,8,1.7449650127066008e-06,2.1994174617027936e-09,True,,,,,
benchmark,fashion_mnist-large,1,16,cuda,treeshap,8,1.5921729367707194e-06,6.188203063969693e-09,True,,,,,
